Elected,Office Address,Number,Street,City,State,Zip,Office Email/Phone,Staff Name,Staff Email/Phone,,Committee Chaired
"NYS Senator - Joseph Addabbo, Jr.","84-16 Jamaica Ave, Woodhaven, NY 11421",,,Woodhaven,NY,"11,421.00",addabbo@nysenate.gov,Raimondo Graziano,Grazian@nysenate.gov,,"Racing, Gaming and Wagering"
NYS Senator and Bronx County Democratic Chair - Jamaal Bailey,"959 East 23rd St, Bronx, NY 10466",,,Bronx,NY,"10,466.00",senatorjbailey@nysenate.gov,,,,Codes
NYS Senator - Jabari Brisport,"906 Broadway 2nd Floor, Brooklyn, NY 11206",,,Brooklyn,NY,"11,206.00",brisport@nysenate.gov,Kara Clark,kclark@nysenate.gov,,Children And Families
NYS Senator - Cordell Cleare,"163 West 125th Street Adam Clayton Powell Jr State Office Building., Suite 912 Manhattan, Brooklyn, The Bronx, Queens, Staten Island 10027",,,Suite 912 Manhattan,Br,"10,027.00",cleare@nysenate.gov,Terressa Hassler,Thassler@nysenate.gov,,Aging
NYS Senator - Leroy Comrie,"113-43 Farmers Blvd, St. Albans, NY 11412",,,St. Albans,NY,"11,412.00",comrie@nysenate.gov,Derrick Davis,derrick@leroycomrie.orgv,,"Corporations, Authorities, and Commissions"
NYS Senator - Simcha Felder,"1412 Avenue J. Suite 2E, Brooklyn, NY 11230",,,Brooklyn,NY,"11,230.00",felder@nysenate.gov,,,,
NYS Senator - Nathalia Fernandez,"2853 East Tremont Ave, Bronx, NY 10465",,,Bronx,NY,"10,465.00",fernandez@nysenate.gov,Justin Sanchez,jsanchez@nysenate.gov,,Alcoholism And Substance Use Disorders Committee
NYS Senator - Mike Gianaris,"22-07 45th St. Suite 1008, Astoria, NY 11105",,,Astoria,NY,"11,105.00",gianaris@nysenate.gov,Michael Sais,sais@nysenate.gov,,
NYS Senator - Kristen Gonzalez,"801 2nd Ave. Suite #303, Manhattan, Brooklyn, The Bronx, Queens, Staten Island 10017",,,Manhattan,Br,"10,017.00",gonzalez@nysenate.gov,Mel Gagarin,Gagarin@nysenate.gov,,Internet and Technology Committee & Elections Committee
NYS Senator - Andrew Gounardes,"597 Carroll St. Suite 31, Brooklyn, NY 11215",,,Brooklyn,NY,"11,215.00",gounardes@nysenate.gov,,,,Budget And Revenue
NYS Senator - Brad Hoylman-Sigal,"322 Eighth Ave. Suite 1700, Manhattan, Brooklyn, The Bronx, Queens, Staten Island 10001",,,Manhattan,Br,"10,001.00",hoylman@nysenate.gov,,,,Judiciary
NYS Senator - Robert Jackson,"5030 Broadway Suite 701, Manhattan, Brooklyn, The Bronx, Queens, Staten Island 10034",,,Manhattan,Br,"10,034.00",jackson@nysenate.gov,Johanna Garcia,Johanna@senatorjackson.com,,Civil Service and Pensions
NYS Senator - Brian Kavanagh,"250 Broadway Room 2011, Manhattan, Brooklyn, The Bronx, Queens, Staten Island 10007",,,Manhattan,Br,"10,007.00",kavanagh@nysenate.gov,,,,"Housing, Construction and Community Development"
NYS Senator - Liz Krueger,"211 E 43rd St. Suite 2000, Manhattan, Brooklyn, The Bronx, Queens, Staten Island 10017",,,Manhattan,Br,"10,017.00",lkrueger@nysenate.gov,Sarra Hale-Stern,hale@nysenate.gov,,Finance Committee
NYS Senator - John Liu,"38-50 Bell Blvd. Suite C, Bayside, NY 11361",,,Bayside,NY,"11,361.00",liu@nysenate.gov,Lisa DellAtuila,lisa@johnliusenate.com,,New York City Education Committee
NYS Senator - Zellnor Myrie,"1077 Nostrand Ave. Ground Floor, Brooklyn, NY 11225",,,Brooklyn,NY,"11,225.00",myrie@nysenate.gov,Godfre Bayalama,bayalama@nysenate.gov,,Codes Committee
NYS Senator - Kevin Parker,"3012 Tilden Ave. 1st Floor & Basement, Brooklyn, NY 11226",,,Brooklyn,NY,"11,226.00",parker@nysenate.gov,Vaughn Mayers,Mayers@nysenate.gov,,Committee on Energy and Telecommunications
NYS Senator - Roxanne Persaud,"1222 East 96th St, Brooklyn, NY 11236",,,Brooklyn,NY,"11,236.00",Persaud@nysenate.gov,Tanequa Strong,strong@nysenate.gov,,Social Services
NYS Senator - Jessica Ramos,"74-09 37th Ave. Suite 302, Jackson Heights, NY 11372",,,Jackson Heights,NY,"11,372.00",ramos@nysenate.gov,Esther Rosario Fiebig,rosario@nysenate.gov,,Labor
NYS Senator - Gustavo Rivera,"2432 Grand Concourse Suite 506, Bronx, NY 10458",,,Bronx,NY,"10,458.00",grivera@nysenate.gov,Annalicia Finol,finol@nysenate.gov,,Health
NYS Senator - Julia Salazar,"212 Evergreen Ave, Brooklyn, NY 11221",,,Brooklyn,NY,"11,221.00",salazar@nysenate.gov,Isabel Anreus,anreus@nysenate.gov,,"Crime Victims, Crime and Correction"
"NYS Senator - James Sanders, Jr.","142-01 Rockaway Blvd, South Ozone Park, NY 11436",,,South Ozone Park,NY,"11,436.00",sanders@nysenate.gov,Marvin Holland,mholland@nysenate.gov,,Banks
NYS Senator - Jessica Scarcella-Spanton,"1906 Mermaid Ave, Brooklyn, NY 11224",,,Brooklyn,NY,"11,224.00",spanton@nysenate.gov,Rebecca Delvec,Rdelvec@nysenate.gov,,"Veterans, Homeland Security and Military Affairs Committee"
NYS Senator - Luis Sepulveda,"975 Kelly St. Suite 203, Bronx, NY 10459",,,Bronx,NY,"10,459.00",sepulveda@nysenate.gov,Joanna Mendez,jmendez@nysenate.gov,,Cities
NYS Senator - Jose Serrano,"335 E 100th St, Manhattan, Brooklyn, The Bronx, Queens, Staten Island 10029",,,Manhattan,Br,"10,029.00",serrano@nysenate.gov,George Damalas,damalas@nysenate.gov,,"Majority Conference and Chair of Committee on Cultural Affairs, Tourism, Parks & Recreation"
NYS Senator - Toby Ann Stavisky,"134-01 20th Ave. 2nd Floor, College Point, NY 11356",,,College Point,NY,"11,356.00",stavisky@nysenate.gov,,,,Higher Education
NYS Democratic Party Chair/ Nassau Democratic Party Chair - Jay Jacobs,"64 Beaver St, Manhattan, Brooklyn, The Bronx, Queens, Staten Island 10004",,,Manhattan,Br,"10,004.00",chair@nydems.org,,,,
