influenced_elected,projects_worked_on,issues_worked_on,location,name_of_org,phone,email,contact_name,additional_email,influence_score
,,"Real Estate Development, Housing","Manhattan, Brooklyn, Queens, The Bronx, Staten Island",Vornado Realty Trust,(212) 894-7000,info@vno.com,,,
,,"Real Estate Development, Housing","Manhattan, Brooklyn, Queens, The Bronx, Staten Island",RXR Realty,(516) 506-6000,info@rxrrealty.com,,,
,,"Real Estate Development, Housing","Manhattan, Brooklyn, Queens, The Bronx, Staten Island",Newmark Knight Frank,(212) 372-2000,info@ngkf.com,,,
,,"Transportation Policy, Environmental Advocacy, climate change","Manhattan, Brooklyn, Queens, The Bronx, Staten Island",Tri-State Transportation Campaign,(212) 268-7474,info@tstc.org,,,
,,"Urban Planning, Sustainability, climate change","Manhattan, Brooklyn, Queens, The Bronx, Staten Island",Regional Plan Association (RPA),(212) 253-2727,info@rpa.org,,,
,,"Environmental Advocacy, Social Justice, climate change","Manhattan, Brooklyn, Queens, The Bronx, Staten Island",New York City Environmental Justice Alliance (NYC-EJA),(212) 647-9570,info@nyc-eja.org,,,
,,"Transportation Policy, Environmental Advocacy, climate change","Manhattan, Brooklyn, Queens, The Bronx, Staten Island",Riders Alliance,(212) 590-9504,info@ridersny.org,,,
,,"Environmental Advocacy, Social Justice, climate change","Manhattan, Brooklyn, Queens, The Bronx, Staten Island",Sierra Club New York City Group,(212) 791-3600,nyc.group@sierraclub.org,,,
,,"Transportation Policy, Environmental Advocacy, climate change","Manhattan, Brooklyn, Queens, The Bronx, Staten Island",Transportation Alternatives,(212) 629-8080,info@transalt.org,,,
,,"Transportation Policy, Environmental Advocacy, climate change","Manhattan, Brooklyn, Queens, The Bronx, Staten Island",Campaign for New York's Future,,,,,
,,"Transportation Policy, Environmental Advocacy, climate change","Manhattan, Brooklyn, Queens, The Bronx, Staten Island",Move NY,,,,,
,,"Transportation Policy, Environmental Advocacy, climate change","Manhattan, Brooklyn, Queens, The Bronx, Staten Island",StreetsPAC,,info@streetspac.org,,,
,,"Transportation Policy, Environmental Advocacy, climate change","Manhattan, Brooklyn, Queens, The Bronx, Staten Island",Uber,(866) 576-1039,support@uber.com,,,
,,"Transportation Policy, Environmental Advocacy, climate change","Manhattan, Brooklyn, Queens, The Bronx, Staten Island",Lyft,(844) 250-2773,support@lyft.com,,,
,,"Environmental Advocacy, Social Justice, climate change","Manhattan, Brooklyn, Queens, The Bronx, Staten Island",City Club of New York,,,Layla Law-Gisiko,,
,,"Climate Change, environmental advocacy, climate change","Manhattan, Brooklyn, Queens, The Bronx, Staten Island",Food and Water Watch,202-683-2500,info@fwwatch.org,,,
,,"Child Welfare, Legal Advocacy","Manhattan, Brooklyn, Queens, The Bronx, Staten Island","Children's Rights, Inc.",(212) 683-2210,info@childrensrights.org,,,
,,"Child Welfare, Social Services","Manhattan, Brooklyn, Queens, The Bronx, Staten Island",Children's Aid NYC,(212) 949-4936,info@childrensaidnyc.org,,,
,,"Child Advocacy, Policy","Manhattan, Brooklyn, Queens, The Bronx, Staten Island",Children's Defense Fund – New York,(212) 697-2323,cdfny@childrensdefense.org,,,
,,"Immigrant Rights, Community Services","Manhattan, Brooklyn, Queens, The Bronx, Staten Island",Chinese Progressive Association,(212) 274-1891,info@cpanyc.org,,,
,,"Child Welfare, Policy Advocacy","Manhattan, Brooklyn, Queens, The Bronx, Staten Island",Coalition for Asian American Children and Families,(212) 809-4675,info@cacf.org,,,
,,"Social Services, Community Support","Manhattan, Brooklyn, Queens, The Bronx, Staten Island",Community Service Society of New York,(212) 254-8900,info@cssny.org,,,
,,"Legal Services, Immigrant Support","Manhattan, Brooklyn, Queens, The Bronx, Staten Island",The Legal Aid Society,(212) 577-3300,info@legal-aid.org or press@legal-aid.org,,,
,,"Health Services, Community Health","Manhattan, Brooklyn, Queens, The Bronx, Staten Island",Community Healthcare Network,(866) 246-8259,info@chnnyc.org,,,
,,"Immigrant Rights, Legal Services","Manhattan, Brooklyn, Queens, The Bronx, Staten Island",New York Immigration Coalition (NYIC),(212) 627-2227,info@nyic.org,,,
,,"Child Welfare, Policy Advocacy","Manhattan, Brooklyn, Queens, The Bronx, Staten Island",The Children's Agenda,(585) 256-2620,info@thechildrensagenda.org,,,
,,"Early Childhood Education, Policy","Manhattan, Brooklyn, Queens, The Bronx, Staten Island",Raising New York Coalition,(518) 694-7400,info@raisingnewyork.org,,,
,,"Housing Advocacy, Urban Planning","Manhattan, Brooklyn, Queens, The Bronx, Staten Island",Open New York,,info@opennewyork.city,,,
,,"Homelessness Services, Supportive Housing","Manhattan, Brooklyn, Queens",Breaking Ground,(212) 389-9300,info@breakingground.org,,,
,,"Housing Preservation, Development","Manhattan, Brooklyn, Queens, The Bronx, Staten Island",NYC Department of Housing Preservation and Development (HPD),(212) 863-6100,,,,
,,"Homelessness Services, Workforce Development","Manhattan, Brooklyn, Queens, The Bronx",The Doe Fund,(212) 690-6480,info@doe.org,,,
,,"Immigrant Rights, Civil Rights, Workers' Rights, Environmental Justice, Housing Justice, Educational Justice, LGBTQ+ Rights","Brooklyn, Queens, Staten Island, The Bronx, Manhattan",Make the Road New York (MRNY),(718) 418-7690,info@maketheroadny.org,,,
,,"Social Services, Community Support, Hunger Relief","Manhattan, Brooklyn, Queens, The Bronx, Staten Island",New York City Coalition Against Hunger (NYCCAH),(212) 825-0028,info@nyccah.org,,,
,,"Environmental Justice, Climate Change, Social Justice","Manhattan, Brooklyn, Queens, The Bronx, Staten Island",WE ACT for Environmental Justice,(212) 961-1000,info@weact.org,,,
,,"Housing Justice, Tenant Rights, Community Organizing","Manhattan, Brooklyn, Queens, The Bronx, Staten Island",Community Voices Heard (CVH),(212) 860-6001,info@cvhaction.org,,,
,,"Police Accountability, Criminal Justice Reform, Social Justice","Manhattan, Brooklyn, Queens, The Bronx, Staten Island",Communities United for Police Reform (CPR),(212) 614-6464,info@changethenypd.org,,,
,,"Economic Justice, Workers' Rights, Policy Advocacy","Manhattan, Brooklyn, Queens, The Bronx, Staten Island",ALIGN: The Alliance for a Greater New York,(212) 701-9470,info@alignny.org,,,
,,"Youth Empowerment, Educational Justice, Leadership Development","Manhattan, Brooklyn, Queens, The Bronx, Staten Island",The Brotherhood/Sister Sol,(212) 283-7044,info@brotherhood-sistersol.org,,,
,,"Housing Justice, Tenant Rights, Legal Services","Manhattan, Brooklyn, Queens, The Bronx, Staten Island",Right to Counsel NYC Coalition,(646) 974-8761,info@righttocounselnyc.org,,,
,,"LGBTQ+ Rights, Social Justice, Community Support","Manhattan, Brooklyn, Queens, The Bronx, Staten Island",The Audre Lorde Project,(212) 463-0342,info@alp.org,,,
,,"Educational Justice, Policy Advocacy, Community Engagement","Manhattan, Brooklyn, Queens, The Bronx, Staten Island",Alliance for Quality Education (AQE),(518) 432-5315,info@aqeny.org,,,
,,"Labor Rights, Unions, Construction","Brooklyn, Queens, The Bronx, Manhattan, Staten Island",Building and Construction Trades Council,(212) 647-0700,info@nycbctc.org,"Jolie A. Milstein, President & CEO",jmilstein@nysafah.org,
,,"Community Organization, Local Government, Urban Planning",Manhattan,Manhattan Community Board 4,(212) 736-4536,mn04@cb.nyc.gov,Comms,comms@anhd.org,
,,"Community Organization, Local Government, Urban Planning",Manhattan,Manhattan Community Board 5,(212) 465-0907,mn05@cb.nyc.gov,,cant find email,
,,"Urban Planning, Transportation, Sustainability, Public Space Advocacy","Brooklyn, Queens, The Bronx, Manhattan, Staten Island",Open Plans,(212) 796-0884,info@openplans.org,Info,info@breakingground.org,
,,"Business Advocacy, Economic Development, Civic Engagement",Manhattan,ABNY,(212) 370-5800,info@abny.org,Admin,admin@building4good.org,
,,"Urban Planning, Transportation, Environmental Policy","Brooklyn, Queens, The Bronx, Manhattan, Staten Island",RPA -- Regional Plan Association,(212) 253-2727,info@rpa.org,,,
,,"Housing, Affordable Housing, Economic Justice","Brooklyn, Queens, The Bronx, Manhattan, Staten Island",AFAH (NYS Association for Affordable Housing),(518) 432-7390,info@nyah.org,,,
,,"Housing, Tenant Rights, Community Development","Brooklyn, Queens, The Bronx, Manhattan, Staten Island",Association for Neighborhood and Housing Development (ANHD),(212) 747-1117,info@anhd.org,,,
,,"Tenant Rights, Housing, Community Organization",Manhattan,Association of Tenants of Lincoln Towers,,,,,
,,"Homeless Services, Supportive Housing, Housing","Brooklyn, Queens, The Bronx, Manhattan, Staten Island",Breaking Ground,(800) 324-7055,info@breakingground.org,,,
,,"Affordable Housing, Sustainable Development, Architecture","Brooklyn, Queens, The Bronx, Manhattan, Staten Island",Build For Good,,,,,
,,"Housing, Tenant Rights, Asian Communities, Social Justice","Little Manila, Woodside, Queens",CAAAV: Organizing Asian Communities,(212) 473-6485,info@caaav.org,,,
,,"Community Organization, Poverty Alleviation, Youth Support",Rochester,Cameron Community Ministries,(585) 254-2697,info@cameronministries.org,"Howard Slatkin, Executive Director",hslatkin@chpcny.org,
,,"Housing, Affordable Housing, Tenant Rights","Brooklyn, Queens, The Bronx","Canary Housing, Inc.",,,,,
,,"Community Development, Housing, Economic Justice","Brooklyn, Carroll Gardens, Park Slope, Gowanus",Carroll Gardens Association,(718) 243-9301,info@cganyc.org,NYC General,nyc@citizenactionny.org,
,,"Community Organization, Housing, Neighborhood Association","Brooklyn, Carroll Gardens",Carroll Street Block Association,,,,,
,,"Tenant Rights, Housing, Community Organization","Brooklyn, Bushwick",Central Avenue Tenants Association,,,,,
,,"Tenant Rights, Housing, Community Organization","Manhattan, Upper West Side",Central Park Gardens Tenants Association,,,info,info@citizensunion.org,
,,"Housing, Urban Planning, Policy","Brooklyn, Queens, The Bronx, Manhattan, Staten Island",CHPC - Citizens Housing & Planning Council of NY,(212) 286-9211,info@chpcny.org,Info,info@cfthomeless.org,
,,"Housing, Faith-Based, Tenant Rights","Brooklyn, Queens",Churches United for Fair Housing,(718) 360-2906,info@cufh.org,Alicé Nascimento,ANascimento@nycommunities.org,
,,"Social Justice, Political Advocacy, Economic Justice","Brooklyn, Queens, The Bronx, Manhattan, Staten Island",Citizen Action of NY,(518) 465-4600,info@citizenactionny.org,,,
,,"Social Justice, Political Advocacy, Economic Justice","Brooklyn, Queens, The Bronx, Manhattan, Staten Island",Citizen Action of NY,,,,,
,,"Housing, Urban Planning, Policy","Brooklyn, Queens, The Bronx, Manhattan, Staten Island",CHPC - Citizens Housing & Planning Council of NY,,,General,csc@coopersquare.org,
,,"Government Accountability, Civic Engagement, Political Reform","Brooklyn, Queens, The Bronx, Manhattan, Staten Island",Citizens Union,(212) 227-0342,info@citizensunion.org,,,
,,"Homeless Services, Housing, Advocacy","Brooklyn, Queens, The Bronx, Manhattan, Staten Island",Coalition for the Homeless,(212) 776-2000,info@cfthomeless.org,,,
,,"Community Organization, Social Justice, Economic Justice","Brooklyn, Queens",Communities for Change,,,Info,info@cu4ml.org,
,,"Community Organization, Local Government, Urban Planning",Manhattan,Community Board 4,,,,,
,,"Social Services, Economic Justice, Housing","Brooklyn, Queens, The Bronx, Manhattan, Staten Island",Community Service Society of New York,(212) 254-8900,info@cssny.org,,,
,,"Tenant Rights, Affordable Housing, Community Development","Cooper Square, Manhattan, Lower Manhattan, NoHo, Greenwich Village, Bowery, East Village",Cooper Square Committee,(212) 228-8210,info@coopersquare.org,Info,info@downtownwomenforchange.org,
,,"Tenant Rights, Affordable Housing, Community Development","Cooper Square, Manhattan, Lower Manhattan, NoHo, Greenwich Village, Bowery, East Village",Cooper Square Committee,,,Pat Garofalo,pgarofalo@economicliberties.us,
,,"Tenant Rights, Housing, Community Organization","Brooklyn, Bushwick",Cooper Street Tenant Union,,,,,
,,"Affordable Housing, Housing Cooperatives, Tenant Rights","Brooklyn, Queens, The Bronx, Manhattan, Staten Island",Cooperators United for Mitchell-Lama,,,Sam Turvey,turveysa@gmail.com,
,,"Tenant Rights, Housing, Community Organization",Manhattan,Courtyard Tenants Association,,,,,
,,"Political Organization, Labor Rights, Socialism","Brooklyn, Queens, The Bronx, Manhattan, Staten Island",CPUSA,(212) 989-4994,cpusa@cpusa.org,,,
,,"Women's Rights, Civic Engagement, Community Organization",Manhattan,Downtown Women for Change,,,,,
,,"Economic Policy, Anti-Monopoly, Corporate Accountability","Brooklyn, Queens, The Bronx, Manhattan, Staten Island",Economic Liberties,,,,,
,,"Political Advocacy, Grassroots Organizing, Progressive Causes","Brooklyn, Queens, The Bronx, Manhattan, Staten Island",Empire State Indivisible,,,,,
,,"Urban Planning, Transportation, Community Advocacy","Manhattan, Penn Station",Empire Station Coalition,,,,,
,,"Faith-Based, Social Justice, Community Organizing","Brooklyn, Queens, The Bronx, Manhattan",Faith in New York,(718) 426-5997,info@faithinnewyork.org,,,
,,"Tenant Rights, Housing, Anti-Displacement","Flushing, Queens",Flushing Anti-Displacement Alliance,,,Chrisitine Gormon,HKDemsNYC@gmail.com,
,,"Housing, Economic Justice, Tenant Rights, Community Organization","Brooklyn, Queens, The Bronx, Staten Island, Manhattan",For the Many,(845) 481-0703,info@forthemany.org,Info,info@hcc-nyc.org,
,,"Legal Services, Housing, Tenant Rights","Manhattan, Upper West Side",Goddard Riverside Law Center,(212) 873-6600,info@goddard.org,,,
,,"Housing, Tenant Rights, Community Organization","Manhattan, Lower East Side",Good Old Lower East Side,(212) 358-1231,gooles@goles.org,,,
,,"Community Organization, Urban Planning, Housing","Manhattan, Midtown",Grand Penn Community Alliance,,,Cea Weaver,cea@housingjusticeforall.org,
,,"Political Advocacy, Social Justice, Civic Engagement","Brooklyn, Queens, The Bronx, Manhattan, Staten Island",Greater NYC for Change,,,,,
,,"Political Advocacy, Civic Engagement, Progressive Policy","Manhattan, Hell's Kitchen",Hells Kitchen Democrats,,,Info,Info@housingrightsUS.org,
,,"Housing, Tenant Rights, Legal Assistance","Manhattan, Hell's Kitchen, Chelsea",Housing Conservation Coordinators,(212) 541-5996,info@hcc-nyc.org,,,
,,"Housing, Legal Assistance, Tenant Rights","Brooklyn, Queens, The Bronx, Manhattan, Staten Island",Housing Court Answers,(212) 962-4795,info@housingcourtanswers.org,,,
,,"Housing, Affordable Housing, Policy Advocacy",Albany,Housing For All Albany,,,,,
,,"Housing, Tenant Rights, Anti-Displacement","Brooklyn, Queens, The Bronx, Manhattan, Staten Island",Housing Justice for All,(212) 979-6238,info@housingjusticeforall.org,Communications,communications@maketheroadny.org,
,,"Housing, Tenant Rights, Community Organizing","Brooklyn, Queens, The Bronx",Housing Organizers for People Empowerment (HOPE),,,"Aleta LaFargue, MPTA President",mptenants@gmail.com,
,,"Housing, Tenant Rights, Legal Assistance","Brooklyn, Queens, The Bronx, Manhattan, Staten Island",Housing Rights Initiative,(800) 990-6474,info@housingrightsinitiative.org,"Jeremy Berman, President",president@gomyd.com,
,,"Housing, Homeless Services, Health Services","Brooklyn, Queens, The Bronx, Manhattan, Staten Island",Housing Works,(347) 473-7400,info@housingworks.org,Andrea Shapiro,"andrea@metcouncilonhousing.org, Darius@metcouncilonhousing",
,,"Housing, Faith-Based, Homeless Services","Brooklyn, Queens, The Bronx, Manhattan, Staten Island",Interfaith Assembly on Homelessness and Housing,(212) 316-3171,iahh@iahh.org,John Mudd,john.mudd@usa.net,
,,"Progressive Policy, Political Advocacy, Housing","Brooklyn, Queens, The Bronx, Manhattan, Staten Island",Local Progress NY,,,,,
,,"Immigrant Rights, Tenant Rights, Workers’ Rights","Brooklyn, Queens, The Bronx, Staten Island, Manhattan",Make the Road NY,(718) 418-7690,info@maketheroadny.org,,,
,,Adv - Penn,,Manhattan Plaza Tenants Association,,,,,
,,"Political Organizing, Youth Advocacy",Manhattan,Manhattan Young Democrats,,,,,
,,"Housing, Tenant Rights, Legal Assistance","Brooklyn, Queens, The Bronx, Manhattan, Staten Island",Met Council on Housing,(212) 979-6238,info@metcouncilonhousing.org,,,
,,"Community Organizing, Housing, Business Improvement","Manhattan, Midtown",Midtown South Community Council,,,,,
,,"Housing, Financial Empowerment, Tenant Rights","Brooklyn, Sunset Park",Neighbors Helping Neighbors,(718) 686-7946,info@nhnhome.org,,,
,,"Housing, Homeless Services, Tenant Rights","Brooklyn, Bed-Stuy, Ocean Hill, Brownsville",Neighbors Together,(718) 498-7256,info@neighborstogether.org,,,
,,"Economic Justice, Anti-Displacement, Financial Empowerment","Brooklyn, Queens, The Bronx, Manhattan, Staten Island",New Economy Project,(212) 680-5100,info@neweconomynyc.org,,info@nmic.org,
,,"Housing, Tenant Rights, Community Land Trusts","Brooklyn, Queens, The Bronx, Manhattan, Staten Island",New York City Community Land Initiative (NYCCLI),,nyccli@gmail.com,"Outreach, General","outreach@nypirg.org,  nypirg@nypirg.org",
,,"Housing, Tenant Rights, Loft Law","Brooklyn, Queens, The Bronx, Manhattan, Staten Island",New York City Loft Tenants,,info@nyclofttenants.org,,,
,,"Housing, Climate Justice, Tenant Rights","Brooklyn, Queens, The Bronx, Manhattan, Staten Island",New York Communities for Change,(718) 246-7900,info@nycommunities.org,"Asia Thomas, Director of Organizing. Logan Phares","athomas@opennewyork.city, logan@opennewyork.org",
,,"Housing, Affordable Housing, Policy Advocacy","Brooklyn, Queens, The Bronx, Manhattan, Staten Island",New York Housing Conference,(646) 923-8548,info@thenyhc.org,,,
,,"Progressive Policy, Political Organizing","Brooklyn, Queens, The Bronx, Manhattan, Staten Island",New York Progressive Action Network,,info@nyproact.org,,,
,,"Housing, Tenant Rights, Immigrant Services","Manhattan, Washington Heights, Inwood",Northern Manhattan Improvement Coalition,(212) 822-8300,info@nmic.org,,,
,,"Political Organizing, Environmental Justice, Consumer Advocacy","Brooklyn, Queens, The Bronx, Manhattan, Staten Island",NY PIRG,(212) 349-6460,nypirg@nypirg.org,Rachel?,info@reinventalbany.org,
,,"Political Organizing, Labor Rights, Progressive Policy","Brooklyn, Queens, The Bronx, Manhattan, Staten Island",NYWFP,,info@workingfamilies.org,Jim Venturi,,
,,"Housing, YIMBY, Tenant Rights","Brooklyn, Queens, The Bronx, Manhattan, Staten Island",Open New York,,team@opennewyork.city,,,
,,"Housing, Tenant Rights, Anti-Displacement","The Bronx, Melrose",Opera House Tenant Union,,,,,
,,"Housing, Economic Justice, Policy Advocacy",Buffalo,Partnership for the Public Good,(716) 852-4191,info@ppgbuffalo.org,,,
,,"Housing, Homeless Services, Community Organizing",Rochester,REACH Advocacy,,info@reachadvocacy.org,,,
,,"Government Transparency, Public Finance, Accountability","Brooklyn, Queens, The Bronx, Manhattan, Staten Island",Reinvent Albany,,info@reinventalbany.org,"Mike Kink, Charles",michael.kink@strongforall.org; Charles.E.Khan@strongforall.org,
,,"Urban Planning, Transportation, Infrastructure","Manhattan, Penn Station",ReThink Penn Station NYC,,,,,
,,"Transportation, Transit Equity, Political Organizing","Brooklyn, Queens, The Bronx, Manhattan, Staten Island",Riders Alliance,(212) 590-9504,info@ridersny.org,,,
,,"Religious Institution, Community Services","Manhattan, Midtown",Shrine and Parish Church of The Holy Innocents,(212) 279-5861,rectory@innocents.com,,,
,,"Religious Institution, Community Services","Manhattan, Midtown",St. John the Baptist Catholic Church,(212) 564-9070,stjohnthebaptist@rcnytr.org,,,
,,Adv - Housing,,Stabilizing NYC,,,,,
,,"Economic Justice, Labor Rights, Wealth Equity","Brooklyn, Queens, The Bronx, Manhattan, Staten Island",Strong Economy for All Coalition,,info@strongforall.org,,,
,,"Youth Services, Gang Prevention, Violence Prevention",Long Island,STRONG Youth,(631) 940-1964,info@strongyouth.com,,,
,,"Legal Services, Housing, Immigrant Rights","Brooklyn, Queens, The Bronx, Manhattan, Staten Island",Take Root Justice,(212) 810-6744,info@takerootjustice.org,,,
,,"Housing, Tenant Rights, Policy Advocacy","Brooklyn, Queens, The Bronx, Manhattan, Staten Island",Tenants & Neighbors,(212) 608-4320,info@tandn.org,,,
,,"Housing, Political Organizing, Tenant Rights","Brooklyn, Queens, The Bronx, Manhattan, Staten Island",Tenants Political Action Committee,,info@tpacnyc.org,"Bennett Baumer, Community Organizer",bbaumer@hcc-nyc.org,
,,"Housing, Anti-Displacement, Community Organizing","Brooklyn, Queens, The Bronx, Manhattan, Staten Island",The Alternative to Economic and Housing Displacement Inc.,,,,,
,,"Housing, Public Health, Medical Advocacy","Brooklyn, Queens, The Bronx, Manhattan, Staten Island",The Health & Housing Consortium,(212) 519-2500,info@healthandhousingconsortium.org,,,
,,"Housing, Homeless Services, Public Policy","Brooklyn, Queens, The Bronx, Manhattan, Staten Island",The Partnership for the Homeless,(212) 645-3444,info@pfth.org,,,
,,"Housing, Homeless Services, Mental Health","Brooklyn, Queens, The Bronx, Manhattan, Staten Island",Urban Pathways,(212) 736-7385,info@urbanpathways.org,,,
,,"Political Organizing, Progressive Policy","Manhattan, West Harlem",West Harlem Progressive Democratic Club,,,,,
,,"Housing, Tenant Rights, Community Organizing","Manhattan, Upper West Side",Westside Neighborhood Alliance,,,,,
,,"Housing, Youth Advocacy, Tenant Rights","Brooklyn, Queens, The Bronx, Manhattan, Staten Island",Youth Alliance for Housing,,,,,
,,"Political Organizing, Voter Engagement, Elections, Party Leadership",The Bronx,Bronx Democratic Party,,,,,
,,"Political Organizing, Voter Engagement, Elections, Party Leadership",Brooklyn,Brooklyn Democratic Party (Kings County Democratic County Committee),,,,,
,,"Political Organizing, Voter Engagement, Elections, Party Leadership",Queens,Queens County Democratic Organization,,,,,
,,"Political Organizing, Voter Engagement, Elections, Party Leadership",Manhattan,New York County Democratic Committee,,,,,
,,"Political Organizing, Voter Engagement, Elections, Party Leadership",Staten Island,Richmond County Democratic Committee,,,,,
,,"Business Advocacy, Economic Development, Small Business Support",The Bronx,Bronx Chamber of Commerce,(718) 828-3900,info@bronxchamber.org,,,
,,"Business Advocacy, Economic Development, Small Business Support",Brooklyn,Brooklyn Chamber of Commerce,(718) 875-1000,info@brooklynchamber.com,,,
,,"Business Advocacy, Economic Development, Small Business Support",Queens,Queens Chamber of Commerce,(718) 898-8500,info@queenschamber.org,,,
,,"Business Advocacy, Economic Development, Small Business Support",Manhattan,Manhattan Chamber of Commerce,(212) 473-7875,info@manhattancc.org,,,
,,"Business Advocacy, Economic Development, Small Business Support",Staten Island,Staten Island Chamber of Commerce,(718) 727-1900,info@sichamber.com,,,
,,"Social Justice, Civil Rights, Community Services",Manhattan,Riverside Church,(212) 870-6700,info@trcnyc.org,,,
,,"Social Justice, Civil Rights, Community Services",Brooklyn,Christian Cultural Center,(718) 306-1000,info@cccinfo.org,,,
,,"Social Justice, Civil Rights, Community Services",Manhattan,Abyssinian Baptist Church,(212) 234-6767,info@abyssinian.org,,,
,,"Social Justice, Civil Rights, Community Services",Brooklyn,Concord Baptist Church,(718) 622-1818,info@concordcares.org,,,
,,"Social Justice, Civil Rights, Community Services",Manhattan,St. Patrick's Cathedral,(212) 753-2261,info@saintpatrickscathedral.org,,,
,,"Social Justice, Civil Rights, Community Services",Manhattan,Islamic Cultural Center,(212) 722-5234,info@iccny.us,,,
,,"Social Justice, Civil Rights, Community Services",Manhattan,Central Synagogue,(212) 838-5122,info@censyn.org,,,
,,"Social Justice, Civil Rights, Community Services",Manhattan,Temple Emanu-El,(212) 744-1400,info@emanuelnyc.org,,,
,,"Social Justice, Civil Rights, Community Services",Manhattan,Marble Collegiate Church,(212) 686-2770,info@marblechurch.org,,,
,,"Social Justice, Civil Rights, Community Services",Manhattan,Trinity Church Wall Street,(212) 602-0800,info@trinitywallstreet.org,,,
,,"Social Justice, Community Services, Poverty Alleviation",Manhattan,Catholic Charities of the Archdiocese of New York,(212) 371-1000,info@catholiccharitiesny.org,,,
,,"Social Justice, Community Services, Poverty Alleviation",Manhattan,Alfred E. Smith Memorial Foundation,(212) 371-1011,info@alsmithfoundation.org,,,
,,"Social Justice, Community Services, Poverty Alleviation",Manhattan,Catholic Charities USA,(703) 549-1390,info@catholiccharitiesusa.org,,,
